Index,Name,Description,Brand,Category,Price,Currency,Stock,EAN,Color,Size,Availability,Internal ID
87,Silent Speakerphone Scanner Monitor,Quality yet significant lawyer face field yet realize.,Cowan Inc,Fragrances,593,USD,580,1710131812265,Navy,XXL,discontinued,20
88,Silent Scanner Monitor Treadmill,Do interesting suggest agreement range admit rule.,"Nichols, Howe and Miller",Health & Wellness,30,USD,728,1287056757693,Wheat,10x10 cm,pre_order,60
89,Fast Vacuum Cooler,Explain six firm recent rock skin.,Blair-Russell,Sports & Outdoors,307,USD,320,4874329354658,LightSalmon,L,limited_stock,5
90,Digital Trimmer,Ago floor nice member wait.,Christian-Tanner,Laptops & Computers,541,USD,488,4147810179628,SteelBlue,M,pre_order,31
91,Automatic Trimmer Sense,Much table ground information news senior.,Harrington-Valentine,Kitchen Appliances,405,USD,950,0000524638185,SlateGray,8x10 in,in_stock,85
92,Portable Scooter Wireless Digital,Thousand various evidence.,Bauer Inc,Cameras & Accessories,519,USD,495,4564280934296,DeepSkyBlue,Large,in_stock,36
93,Fridge Cooker,Try better loss pretty special.,Jackson Group,Furniture,393,USD,499,1861389468671,Black,Small,in_stock,80
94,Scanner,Draw material quickly most.,"Wang, Ayala and Bowen",Cleaning Supplies,472,USD,63,7794860625802,ForestGreen,12x18 in,backorder,8
95,Ultra Radio Radio,Shoulder red boy away if.,Maldonado-Ritter,Haircare,382,USD,639,3611080124547,Aquamarine,12x18 in,pre_order,48
96,Router,Investment everything story buy.,Atkinson Inc,Laptops & Computers,375,USD,703,3330396409604,Gainsboro,8x10 in,limited_stock,55
97,Fast Thermostat Microphone Scooter,Nature notice themselves news.,Shea Ltd,Beauty & Personal Care,289,USD,727,9265397743935,White,Extra Large,backorder,25
98,Eco Heater Toaster Stove Silent Sense,Understand still or summer rule.,West Ltd,Cleaning Supplies,232,USD,998,5505866454530,OldLace,Small,limited_stock,20
99,Clean Blender Scale Lite,Final art some push.,"Bell, Gamble and Barrett",Camping & Hiking,241,USD,391,3893594435450,Aquamarine,5x7 in,limited_stock,5
100,Smart Lamp,However public major baby.,"Hebert, Hughes and Trujillo",Bedding & Bath,71,USD,518,8264263605712,Brown,Medium,limited_stock,3
